component,type,name,weight
4,gene,Cre06.g278177,0.0033475712347609
4,gene,Cre06.g278251,0.0925248751425132
4,gene,Cre06.g285900,0.0246700268772347
4,gene,Cre06.g295050,0.1369548624315344
4,gene,Cre07.g325715,0.0339559590635934
4,gene,Cre07.g329750,0.0402133162647382
4,gene,Cre07.g332300,0.0519669022431171
4,gene,Cre07.g350250,0.0113965885740096
4,gene,Cre08.g358571,0.2182895683646162
4,gene,Cre08.g367350,0.0408085852590059
4,gene,Cre08.g374250,0.0154794382394213
4,gene,Cre09.g386850,0.0762174060955627
4,gene,Cre09.g387949,0.1048536005564476
4,gene,Cre09.g393000,0.1002717432289816
4,gene,Cre09.g394695,0.022792588056871
4,gene,Cre09.g395695,0.0418402543147257
4,gene,Cre09.g397216,0.0288231840952791
4,gene,Cre09.g407150,0.0952394127302848
4,gene,Cre09.g412150,0.0212849124204965
4,gene,Cre10.g417500,0.0152016567200216
4,gene,Cre10.g425100,0.0628207804109639
4,gene,Cre10.g431250,0.0090293749170174
4,gene,Cre10.g432600,0.0384940131076414
4,gene,Cre10.g434500,0.0773354048642319
4,gene,Cre10.g436000,0.0017365694084884
4,gene,Cre10.g436150,0.1123214144557851
4,gene,Cre10.g436200,0.1123214144557851
4,gene,Cre10.g437300,0.0227263140048783
4,gene,Cre10.g445800,0.1070491423788029
4,gene,Cre10.g453900,0.0698436437096044
4,gene,Cre10.g461700,0.0858667805142727
4,gene,Cre10.g465650,0.0082833257778634
4,gene,Cre11.g467566,0.1416230314763094
4,gene,Cre11.g467567,0.1416230314763094
4,gene,Cre11.g467756,0.0553662101622319
4,gene,Cre11.g478128,0.0460876785036184
4,gene,Cre12.g486900,0.0450278581601019
4,gene,Cre12.g489250,0.0486489046084422
4,gene,Cre12.g489300,0.0486489046084422
4,gene,Cre12.g495250,0.0722652494622323
4,gene,Cre12.g518350,0.0318994516893056
4,gene,Cre12.g531900,0.1893514746514786
4,gene,Cre12.g550800,0.0090186859443537
4,gene,Cre12.g554100,0.1088373673189931
4,gene,Cre12.g554400,0.0399373347559624
4,gene,Cre13.g565150,0.1621953982972692
4,gene,Cre13.g573150,0.0014389489244036
4,gene,Cre13.g586883,0.0139247348591544
4,gene,Cre13.g588150,0.0462273584629384
4,gene,Cre13.g589300,0.0476718279506426
